gene_symbol,GSM3068464,GSM3068465,GSM3068466,GSM3068467,GSM3068468,GSM3068469,GSM3068470,GSM3068471,GSM3068472,GSM3068473,GSM3068474,GSM3068475,GSM3068476,GSM3068477,GSM3068478,GSM3068479,GSM3068480,GSM3068481,GSM3068482,GSM3068483,GSM3068484,GSM3068485,GSM3068486,GSM3068487,GSM3068488,GSM3068489,GSM3068490,GSM3068491,GSM3068492,GSM3068493,GSM3068494,GSM3068495,GSM3068496,GSM3068497,GSM3068498,GSM3068499,GSM3068500,GSM3068501,GSM3068502,GSM3068503,GSM3068504,GSM3068505,GSM3068506,GSM3068507,GSM3068508,GSM3068509,GSM3068510,GSM3068511,GSM3068512,GSM3068513,GSM3068514,GSM3068515,GSM3068516,GSM3068517,GSM3068518,GSM3068519,GSM3068520,GSM3068521,GSM3068522,GSM3068523,GSM3068524,GSM3068525,GSM3068526,GSM3068527,GSM3068528,GSM3068529,GSM3068530,GSM3068531,GSM3068532,GSM3068533,GSM3068534,GSM3068535,GSM3068536,GSM3068537,GSM3068538,GSM3068539,GSM3068540,GSM3068541,GSM3068542,GSM3068543,GSM3068544,GSM3068545,GSM3068546,GSM3068547,GSM3068548,GSM3068549
ABCB1,9.061,8.0257,8.5637,6.8814,5.7214,6.4253,8.6957,5.839,5.7053,5.6381,6.2455,9.0669,8.7536,7.3221,4.2428,5.6301,8.238,9.0968,7.2089,6.6597,6.6563,8.9812,6.9582,6.9106,4.5814,8.7669,7.8668,8.283,7.3044,9.1573,8.7103,9.0897,9.2784,4.1318,9.2075,6.529,8.3793,9.1967,8.6716,8.4455,9.3655,5.8295,8.0574,5.261,8.6804,4.2254,8.2809,7.9043,8.9481,7.605,4.6779,8.5637,8.8855,4.4623,7.7044,6.824,6.7636,8.7446,8.2034,5.3968,7.6666,8.4548,7.3135,8.5852,8.0408,7.5288,6.9969,6.8405,8.5283,9.0334,8.4477,6.9787,6.6797,7.7496,8.8583,6.6153,7.0514,8.6567,7.5141,8.5117,8.1868,4.3441,8.3375,8.7488,3.4807,8.8303
ABCG2,10.4301,9.5001,9.4714,8.3559,7.879,8.0749,10.0072,7.9217,8.9586,7.2037,7.6975,10.0269,9.543,8.6411,6.3608,8.4074,9.2309,9.8793,8.9927,8.6901,8.7637,9.6981,7.4008,8.6922,6.5675,9.6673,8.938,9.4477,9.4277,10.3771,9.7361,10.5109,9.7213,5.4222,9.5509,9.2067,8.8767,10.219,9.8578,9.766,9.8888,8.2101,9.0586,5.9369,9.5993,4.7021,9.7589,9.0163,9.7748,8.6977,6.2145,9.7133,9.7466,6.1262,9.0588,7.7951,7.6352,9.3727,9.9191,5.6209,8.8619,9.3613,8.2736,9.6525,9.378,8.8566,10.0034,8.2542,9.2732,9.991,9.6792,8.2483,8.7102,9.1593,9.7027,8.4342,8.9699,9.7265,8.2184,9.5755,9.7029,7.2711,9.7241,9.966,5.2401,9.666
ACE,8.5794,8.0195,8.4307,6.4272,5.2649,5.6755,9.6649,6.7951,4.6728,4.8345,7.0011,8.8239,8.9776,6.8963,4.2297,7.5209,7.945,8.7149,4.7724,6.6184,5.6597,8.6399,5.0859,7.6067,4.3455,9.6533,8.037,8.038,7.1192,8.4341,8.8557,9.1665,9.1108,4.8312,9.0248,7.6527,7.4919,8.5859,8.8965,9.0287,9.2799,4.731,7.0964,5.1939,7.5946,4.8402,8.5245,7.3874,8.2479,7.55,4.4453,8.6925,7.9579,4.7223,5.8255,4.7443,6.1743,8.5386,7.3557,4.9965,6.3959,8.4422,7.2252,8.008,8.6305,7.7161,5.7847,7.1611,7.6307,8.8619,8.7783,7.3904,5.2633,8.806,8.9265,7.4157,7.4535,8.0741,5.5141,9.4569,5.9283,4.8924,7.8119,8.4919,4.7269,9.0898
ACE2,11.1851,10.0157,10.5721,9.897,8.3597,9.3895,10.6118,9.7625,5.8013,9.0124,9.3365,10.5971,10.2405,10.076,9.1866,9.4965,10.0364,11.3198,8.1411,10.2228,9.5996,10.7539,8.383,9.9468,8.4091,11.1387,10.3985,10.3781,9.3933,11.3339,10.8698,11.2871,10.9357,3.3771,10.4637,9.7732,9.9037,11.2587,10.9928,10.3572,10.7469,7.9569,10.0521,7.3434,10.101,6.6821,10.551,9.9487,10.2758,9.9523,3.5776,10.3661,10.5682,6.6341,10.0787,9.4702,9.2079,10.6198,10.1871,8.1514,10.2418,10.5737,10.0292,10.6565,10.8739,10.176,8.3241,9.7497,10.6425,11.0891,11.08,9.3697,9.3198,10.5741,10.8591,9.4489,9.9618,10.6112,9.4732,10.3528,9.7924,6.7985,10.6263,10.5915,6.8962,10.872
ADCY9,6.1476,6.2149,6.0393,5.4644,5.4098,5.4046,6.4313,4.9539,6.0047,5.408,4.9228,6.2292,6.1096,5.3347,4.9467,5.6648,5.301,6.688,6.0399,4.0857,4.3774,6.2926,5.5518,5.5846,4.9314,5.6397,6.0066,6.5996,5.8728,6.2132,5.9346,7.2438,6.7236,5.2956,5.8952,5.6991,5.3602,6.3024,6.2966,5.4305,6.9424,5.3268,5.016,5.6971,6.227,5.8504,6.2808,5.4738,5.216,5.5442,4.9236,5.7058,5.8047,4.887,5.4019,5.8814,5.2119,6.151,4.9837,4.3374,4.7227,5.3141,5.7702,4.9772,6.4747,5.9541,6.3421,4.8818,5.8655,6.3237,6.6778,5.3444,5.4142,5.9562,6.5089,5.0845,4.8398,4.9726,5.5715,6.6082,5.9732,5.5584,6.0468,6.9689,5.382,5.7602
ALDH2,10.2083,9.8707,9.9525,10.0903,9.2995,10.075,10.3327,9.8559,9.9364,10.2496,9.8294,10.0881,10.0059,10.1832,10.715,10.8479,9.7278,10.4907,10.2941,10.118,10.4511,9.7175,10.21,10.3809,10.4164,10.0693,10.1163,10.1641,9.8435,9.9442,10.1035,10.2411,10.1689,8.3315,10.0712,10.0823,9.6406,10.2414,10.1848,10.1389,9.8228,10.9266,10.2313,10.0964,10.2726,10.2426,10.1514,9.866,9.9944,10.0659,9.4648,9.9535,10.0672,10.1902,9.9642,10.3595,9.179,10.316,10.215,10.3313,9.9668,10.0648,10.3396,10.212,10.4299,10.1696,10.2298,9.9219,9.9614,10.1892,9.9494,9.9641,10.441,10.3353,10.183,10.1058,9.9539,10.1777,10.6603,10.3055,10.3936,10.5985,9.6458,9.8326,10.2015,10.14
ANKS4B,7.7383,7.3522,7.6305,6.6873,4.8649,6.9989,7.7159,6.5889,6.9674,6.6098,6.8202,7.5733,6.9994,7.0753,6.2948,6.7272,7.1431,7.5709,7.2678,7.3718,7.7213,6.7178,7.5467,7.3705,6.6745,7.751,7.456,7.2827,7.2853,8.3742,8.1009,8.0691,7.4698,2.8783,7.2777,7.9938,7.0292,8.1104,7.9652,7.2772,7.972,6.3604,7.6634,6.8347,7.7853,6.2336,7.6511,6.3953,7.7838,6.6563,2.6396,7.2048,7.6169,5.6671,7.3263,7.3797,4.7823,7.6554,7.8708,6.8998,6.3435,6.9817,7.018,7.5646,8.2278,7.4061,7.6734,7.2697,7.7865,7.684,7.8344,6.3611,7.0025,7.687,7.7531,6.3375,6.7608,7.6163,6.6577,7.7399,7.8881,4.6019,7.379,7.2263,6.6363,7.5498
ANO10,9.4337,9.0071,9.3622,8.9916,8.5507,9.6034,9.5357,8.7365,9.533,8.7589,8.5279,9.3953,9.3832,8.9274,8.3713,8.9547,8.8452,9.5269,9.1683,8.7506,9.2715,9.2827,9.1624,8.9356,8.7212,9.2475,8.9874,9.2708,8.528,9.3596,9.4098,9.3274,9.4105,8.2514,9.131,9.4325,9.1114,9.3041,9.7139,9.1066,9.5333,8.9205,9.3539,8.6358,9.4469,8.4714,9.7835,9.1737,9.5313,8.5834,8.1379,9.0882,9.1738,8.3967,8.892,9.0499,8.0565,9.3917,9.5728,8.4035,8.6298,8.9417,9.2607,9.1186,9.3665,9.1974,9.1391,9.0822,9.5269,9.6975,9.1427,8.9549,9.1779,9.2764,9.543,9.0181,8.7532,9.2205,9.1912,9.5526,9.4719,7.549,8.8319,9.5505,9.1384,9.236
ANPEP,12.0507,11.4041,11.6229,10.9629,10.3566,11.1084,12.0099,10.9767,10.1485,10.7767,11.3725,11.5056,11.8637,11.2062,7.281,11.2363,11.1397,11.7625,9.3501,10.9332,11.5386,11.5154,8.9052,11.6007,9.8064,12.3214,11.2874,11.6103,10.9216,11.9427,11.0286,11.6566,12.1191,8.7889,11.5807,11.3039,11.3314,11.5329,11.9627,11.672,12.1128,10.1411,11.0787,9.2279,11.6582,7.3357,11.5524,11.0337,11.1786,11.6391,6.705,11.5779,11.94,7.6743,11.1209,10.4623,11.0959,11.7454,11.3973,9.3338,10.936,11.8271,12.1948,11.3328,11.7027,11.5282,9.5413,11.2627,11.3198,12.154,12.1306,10.8738,11.5,12.0743,11.8911,11.0976,11.1387,11.1593,10.405,12.3947,11.07,8.137,11.0256,11.4857,8.5243,11.7976
APOA1,12.9675,10.7124,11.9507,9.9882,6.4805,9.0046,11.0298,9.4142,6.0502,6.1108,7.2928,12.2584,11.5701,7.0598,5.4496,9.7631,10.6603,11.2939,5.8886,9.1277,5.7681,11.4962,5.6032,8.627,6.0849,11.7745,9.9908,10.616,9.6315,12.6372,11.1625,13.0561,11.8106,4.9948,11.3313,10.0098,8.2567,11.789,12.7875,11.1935,12.3056,4.7707,10.0566,5.3428,10.4215,5.4018,11.302,10.0726,10.8707,9.9044,5.4558,10.3361,10.7168,5.078,9.6153,5.5063,10.8104,10.636,11.5791,5.3523,9.1445,11.6336,9.189,11.19,10.6517,10.0445,6.2115,9.0867,9.2564,11.1563,11.9477,10.5243,7.1262,10.4714,11.2753,8.6729,10.6835,10.7071,6.001,12.6151,9.5105,4.8415,11.3458,10.9943,5.5013,12.1526
